playlist_index,name,artists,album,album_release_year,duration_ms,track_number,disc_number,isrc,spotify_track_url,added_at
1,360,Charli xcx,BRAT,2024,133805,1,1,USAT22401341,https://open.spotify.com/track/4w2GLmK2wnioVnb5CPQeex,2024-09-18T02:26:38Z
2,Club classics,Charli xcx,BRAT,2024,153526,2,1,USAT22401342,https://open.spotify.com/track/0CySZwyRJ0vyUqtSjM9i2k,2024-09-18T02:26:38Z
3,Sympathy is a knife,Charli xcx,BRAT,2024,151125,3,1,USAT22401343,https://open.spotify.com/track/5c9tBmJKbTdn1vhzXHeAwW,2024-09-18T02:26:38Z
4,I might say something stupid,Charli xcx,BRAT,2024,109202,4,1,USAT22401344,https://open.spotify.com/track/0PFZCt7UNmpas24HejQGu8,2024-09-18T02:26:38Z
5,Talk talk,Charli xcx,BRAT,2024,161757,5,1,USAT22401345,https://open.spotify.com/track/62fqMvguJbsSs9HKhhRfuS,2024-09-18T02:26:38Z
6,Von dutch,Charli xcx,BRAT,2024,164284,6,1,USAT22313737,https://open.spotify.com/track/3Y1EvIgEVw51XtgNEgpz5c,2024-09-18T02:26:38Z
7,Everything is romantic,Charli xcx,BRAT,2024,203482,7,1,USAT22401346,https://open.spotify.com/track/5sMEEjviCkH6Rp5X2ZvIIc,2024-09-18T02:26:38Z
8,Rewind,Charli xcx,BRAT,2024,168443,8,1,USAT22401347,https://open.spotify.com/track/50GxvQA2KEWNt31EdwIlzY,2024-09-18T02:26:38Z
9,So I,Charli xcx,BRAT,2024,211352,9,1,USAT22401348,https://open.spotify.com/track/0AkiAfilrTUXV49dleC5SB,2024-09-18T02:26:38Z
10,"Girl, so confusing",Charli xcx,BRAT,2024,174507,10,1,USAT22401349,https://open.spotify.com/track/41krZZovstMJKeJZJtbL78,2024-09-18T02:26:38Z
11,Apple,Charli xcx,BRAT,2024,151739,11,1,USAT22401350,https://open.spotify.com/track/19RybK6XDbAVpcdxSbZL1o,2024-09-18T02:26:38Z
12,B2b,Charli xcx,BRAT,2024,178579,12,1,USAT22401351,https://open.spotify.com/track/4wTvw1dBiPXNiHTh0zzpcI,2024-09-18T02:26:38Z
13,Mean girls,Charli xcx,BRAT,2024,189410,13,1,USAT22401352,https://open.spotify.com/track/1qKCO2Tocwg8CbepJ9uDtd,2024-09-18T02:26:38Z
14,I think about it all the time,Charli xcx,BRAT,2024,135878,14,1,USAT22401353,https://open.spotify.com/track/3OaFGqHUyxGVkOcSILw8Kx,2024-09-18T02:26:38Z
15,365,Charli xcx,BRAT,2024,203618,15,1,USAT22401354,https://open.spotify.com/track/5h68SoVFGleijCtjEja3xG,2024-09-18T02:26:38Z
16,Lose Control,PLAT.,Lose Control,2023,157241,1,1,USLD91758048,https://open.spotify.com/track/4FobM3SwTThgWFOGq8xxgj,2024-09-18T02:26:43Z
17,two,bbno$,two,2024,135212,1,1,QM24S2405396,https://open.spotify.com/track/6DRZmJa38MaMNthwG3fCBD,2025-01-20T18:59:43Z
